id,POSITION_X,POSITION_Y,FRAME,ESTIMATED_DIAMETER
1,24.487,17.513,80,4.705
1,23.635,18.327,81,3.72
1,23.722,17.744,82,4.822
1,24.268,16.906,83,3.72
1,24.348,16.772,84,3.722
1,24.715,16.915,85,4.823
1,24.369,17.718,86,3.614
1,24.117,18.084,87,2.1
1,23.209,18.319,88,4.794
1,23.564,18.22,89,2.1
1,23.5,18.003,90,3.615
1,23.95,18.191,91,4.794
1,24.468,18.484,92,2.1
1,24.874,17.451,93,4.761
1,25.327,16.955,94,4.794
1,24.839,16.972,95,4.794
1,25.197,17.149,96,2.1
1,24.839,16.972,97,4.794
1,25.327,16.955,98,3.614
1,24.839,16.972,99,4.794
1,25.327,16.955,100,3.615
1,25.78,16.754,101,2.1
1,25.5,16.997,102,3.615
1,24.913,16.871,103,4.794
1,25.628,17.271,104,4.822
1,26.586,17.414,105,4.839
1,26.191,17.024,106,4.226
1,25.923,17.077,107,4.761
1,26.129,17.087,108,4.794
1,26.222,16,109,4.762
1,26.494,16.493,110,4.704
1,26.862,15.709,111,4.822
1,27,15.681,112,3.618
1,27.457,15.349,113,3.616
1,27.369,15.214,114,4.705
1,26.732,14.906,115,4.705
1,25.73,15.352,116,4.763
1,26.268,15.094,117,4.794
1,26.008,14.501,118,4.708
1,25.862,14.171,119,2.1
1,26.835,14.165,120,3.722
1,26.645,14.542,121,2.1
1,26.847,14,122,4.708
1,27.385,13.155,123,4.763
1,27.039,12.862,124,4.794
1,27.681,12.541,125,4.702
1,28.052,12.158,126,4.822
1,28.5,12,127,4.763
1,28.652,11.228,128,3.973
1,28.59,10.231,129,3.618
1,28.613,10.387,130,3.722
1,28.008,10.499,131,2.1
1,27.321,11.238,132,4.702
1,27.476,11.278,133,3.614
1,27.436,10.78,134,2.1
1,27.478,10.514,135,3.68
1,27.189,10.284,136,4.704
2,22,11.35,0,4.794
2,22.243,11,1,4.74
2,21.872,11.873,2,4.794
2,21.75,12.404,3,4.763
2,21.674,12.964,4,4.74
2,21.055,12.831,5,4.582
2,21.06,12.173,6,4.74
2,20.632,11.488,7,4.763
2,19.882,11.418,8,4.763
2,19.738,11.618,9,4.708
2,20.118,12.118,10,4.582
2,20.757,11.757,11,4.582
2,20.48,11.483,12,4.705
2,20.164,11.836,13,4.74
2,20.762,11.727,14,4.685
2,20.605,11.93,15,4.685
2,21.064,11.936,16,4.74
2,21.043,11.675,17,4.685
2,20.244,11.986,18,4.582
2,19.939,11.799,19,4.708
2,19.556,11.733,20,4.821
2,19.244,11.759,21,4.707
2,18.243,11.757,22,4.582
2,18,11.35,23,4.794
2,18.168,11.296,24,4.794
2,18.601,10.854,25,4.685
2,18.549,11.171,26,3.969
2,17.75,11.404,27,4.763
2,17.882,10.954,28,4.687
2,17.482,10.96,29,4.578
2,17.698,10.748,30,4.763
2,17.155,10.728,31,4.708
2,16.679,10.591,32,4.708
2,15.745,9.616,33,4.794
2,15.504,9.238,34,3.618
2,15.167,9.135,35,4.794
2,14.437,9.332,36,4.822
2,13.927,9.006,37,3.619
2,13.673,8.955,38,3.618
2,13.647,8.705,39,4.707
2,14,8.883,40,3.62
2,13.92,8.38,41,3.722
2,14,8.65,42,4.794
2,13.951,9.622,43,4.763
2,14.077,10.06,44,4.794
2,14.683,10.396,45,4.707
2,14.867,10.052,46,3.973
2,14.343,10.078,47,3.551
2,14.284,10.243,48,4.794
2,14.803,10.526,49,3.722
2,14.205,10.695,50,4.708
2,13.985,10.35,51,2.1
2,14.589,10.411,52,4.794
2,15.094,11.268,53,3.722
2,15.343,11.078,54,3.551
2,15.673,11.045,55,3.618
2,16.346,11.515,56,2.1
2,16.766,11.729,57,3.722
2,17.842,12.052,58,3.619
2,18.63,11.612,59,3.722
2,19.014,11.946,60,3.618
2,18.356,11.734,61,4.794
2,19.146,12.467,62,3.722
2,18.286,13.246,63,2.1
2,18.286,13.754,64,2.1
2,17.92,14.62,65,3.722
2,18.318,14.854,66,3.618
2,18.88,14.509,67,4.763
2,18.156,15,68,4.794
2,17.833,14.736,69,3.619
2,17.186,14.952,70,3.617
2,17.782,15.155,71,4.794
2,17.594,15.369,72,4.707
2,17.844,15,73,4.794
2,18.219,15.204,74,4.708
2,18.156,14.887,75,3.619
2,17.484,14.211,76,2.1
2,16.745,13.616,77,4.794
2,16.546,13.866,78,3.722
2,15.986,14.054,79,3.618
2,16.695,13.792,80,3.723
2,16.108,13.191,81,4.857
2,16.293,12.866,82,2.1
2,16.839,12.067,83,3.621
2,17.476,11.524,84,4.794
2,17.476,12.524,85,4.794
2,17.457,12.851,86,3.62
2,18,13.117,87,3.62
2,17.92,12.38,88,3.722
2,18,12.5,89,4.708
2,17.66,12.542,90,2.1
2,17.842,12.052,91,3.619
2,17.189,12,92,3.619
2,15.882,12.582,93,4.763
2,16.08,13.62,94,3.722
2,15.681,13,95,3.62
2,16,12.5,96,2.1
2,16.875,11.851,97,3.62
2,17.854,11.467,98,3.722
2,17.057,11.207,99,3.723
2,17.49,10.704,100,3.619
2,17.923,11.811,101,3.62
2,17.681,12,102,3.62
2,18.343,12.667,103,4.707
2,17.347,13.453,104,3.618
2,16.92,13.38,105,3.722
2,16.723,12.675,106,2.1
2,16.319,13,107,3.62
2,15.863,12.353,108,3.683
2,15.943,12.207,109,3.723
2,15.045,12.011,110,2.1
2,15.071,11.666,111,3.723
2,15.709,12.138,112,3.723
2,15.921,12.101,113,3.619
2,15.227,12.099,114,2.1
2,14.803,12.526,115,3.722
2,14.92,12.62,116,3.722
2,14.847,13.211,117,3.724
2,15.277,12.675,118,2.1
2,15.927,11.939,119,3.62
2,16.673,11.955,120,3.618
2,17.351,12.363,121,2.1
2,17.709,12.138,122,3.723
2,17.509,12.438,123,4.794
2,17.66,12.05,124,3.548
2,18.862,11.459,125,2.1
2,19.652,10.911,126,2.1
2,20.371,11.62,127,3.57
2,19.692,12.08,128,3.621
2,18.584,13.41,129,2.1
2,18.562,13.313,130,2.1
2,19.152,13.589,131,2.1
2,18.413,12.937,132,2.1
2,18.137,12.353,133,3.683
2,17.854,12.533,134,3.722
2,17.927,12.939,135,3.62
2,17.39,12.202,136,2.1
2,17.924,12.566,137,2.1
2,18.41,12.769,138,3.55
2,18.508,12.657,139,2.1
2,19.019,13.127,140,2.1
2,19.015,13.3,141,2.1
2,19.199,13.296,142,3.548
2,19.503,12.804,143,3.548
2,19.735,13.254,144,3.548
2,19.724,13.103,145,3.548
2,20.645,13.542,146,2.1
2,20.935,13.935,147,2.1
2,21,14,148,2.1
2,21.545,13.814,149,3.547
2,21.682,13,150,3.498
2,22.355,13.542,151,2.1
2,21.819,14,152,3.552
2,21.498,14.185,153,2.1
2,21.077,14.116,154,2.1
2,21.343,12.922,155,3.551
2,21.457,12.851,156,3.62
2,20.327,13.463,157,3.686
2,19.458,12.645,158,2.1
2,19.5,13,159,3.55
2,19.372,13.48,160,4.707
3,32,14.35,0,4.794
3,32.243,14,1,4.74
3,31.872,14.873,2,4.794
3,31.75,15.404,3,4.763
3,31.674,15.964,4,4.74
3,31.055,15.831,5,4.582
3,31.06,15.173,6,4.74
3,30.632,14.488,7,4.763
3,29.882,14.418,8,4.763
3,29.738,14.618,9,4.708
3,30.118,15.118,10,4.582
3,30.757,14.757,11,4.582
3,30.48,14.483,12,4.705
3,30.164,14.836,13,4.74
3,30.762,14.727,14,4.685
3,30.605,14.93,15,4.685
3,31.064,14.936,16,4.74
3,31.043,14.675,17,4.685
3,30.244,14.986,18,4.582
3,29.939,14.799,19,4.708
3,29.556,14.733,20,4.821
3,29.244,14.759,21,4.707
3,28.243,14.757,22,4.582
3,28,14.35,23,4.794
3,28.168,14.296,24,4.794
3,28.601,13.854,25,4.685
3,28.549,14.171,26,3.969
3,27.75,14.404,27,4.763
3,27.882,13.954,28,4.687
3,27.482,13.96,29,4.578
3,27.698,13.748,30,4.763
3,27.155,13.728,31,4.708
3,26.679,13.591,32,4.708
3,25.745,12.616,33,4.794
3,25.504,12.238,34,3.618
3,25.167,12.135,35,4.794
3,24.437,12.332,36,4.822
3,23.927,12.006,37,3.619
3,23.673,11.955,38,3.618
3,23.647,11.705,39,4.707
3,24,11.883,40,3.62
3,23.92,11.38,41,3.722
3,24,11.65,42,4.794
3,23.951,12.622,43,4.763
3,24.077,13.06,44,4.794
3,24.683,13.396,45,4.707
3,24.867,13.052,46,3.973
3,24.343,13.078,47,3.551
3,24.284,13.243,48,4.794
3,24.803,13.526,49,3.722
3,24.205,13.695,50,4.708
3,23.985,13.35,51,2.1
3,24.589,13.411,52,4.794
3,25.094,14.268,53,3.722
3,25.343,14.078,54,3.551
3,25.673,14.045,55,3.618
3,26.346,14.515,56,2.1
3,26.766,14.729,57,3.722
3,27.842,15.052,58,3.619
3,28.63,14.612,59,3.722
3,29.014,14.946,60,3.618
3,28.356,14.734,61,4.794
3,29.146,15.467,62,3.722
3,28.286,16.246,63,2.1
3,28.286,16.754,64,2.1
3,27.92,17.62,65,3.722
3,28.318,17.854,66,3.618
3,28.88,17.509,67,4.763
3,28.156,18,68,4.794
3,27.833,17.736,69,3.619
3,27.186,17.952,70,3.617
3,27.782,18.155,71,4.794
3,27.594,18.369,72,4.707
3,27.844,18,73,4.794
3,28.219,18.204,74,4.708
3,28.156,17.887,75,3.619
3,27.484,17.211,76,2.1
3,26.745,16.616,77,4.794
3,26.546,16.866,78,3.722
3,25.986,17.054,79,3.618
3,26.695,16.792,80,3.723
3,26.108,16.191,81,4.857
3,26.293,15.866,82,2.1
3,26.839,15.067,83,3.621
3,27.476,14.524,84,4.794
3,27.524,15.476,85,4.794
3,27.457,15.851,86,3.62
3,28,16.117,87,3.62
3,27.92,15.38,88,3.722
3,28,15.5,89,4.708
3,27.66,15.542,90,2.1
3,27.842,15.052,91,3.619
3,27.189,15,92,3.619
3,25.882,15.582,93,4.763
3,26.08,16.62,94,3.722
